Получение названий всех продуктов и соответствующих им торговых марок:
[product_name, brand_name]
('Trek 820 - 2016', 'Trek')
('Ritchey Timberwolf Frameset - 2016', 'Ritchey')
('Surly Wednesday Frameset - 2016', 'Surly')
('Trek Fuel EX 8 29 - 2016', 'Trek')
('Heller Shagamaw Frame - 2016', 'Heller')
('Surly Ice Cream Truck Frameset - 2016', 'Surly')
('Trek Slash 8 27.5 - 2016', 'Trek')
('Trek Remedy 29 Carbon Frameset - 2016', 'Trek')
('Trek Conduit+ - 2016', 'Trek')
('Surly Straggler - 2016', 'Surly')
('Surly Straggler 650b - 2016', 'Surly')
('Electra Townie Original 21D - 2016', 'Electra')
('Electra Cruiser 1 (24-Inch) - 2016', 'Electra')
("Electra Girl's Hawaii 1 (16-inch) - 2015/2016", 'Electra')
('Electra Moto 1 - 2016', 'Electra')
('Electra Townie Original 7D EQ - 2016', 'Electra')
('Pure Cycles Vine 8-Speed - 2016', 'Pure Cycles')
("Pure Cycles Western 3-Speed - Women's - 2015/2016", 'Pure Cycles')
('Pure Cycles William 3-Speed - 2016', 'Pure Cycles')
("Electra Townie Original 7D EQ - Women's - 2016", 'Electra')
('Electra Cruiser 1 (24-Inch) - 2016', 'Electra')
("Electra Girl's Hawaii 1 (16-inch) - 2015/2016", 'Electra')
("Electra Girl's Hawaii 1 (20-inch) - 2015/2016", 'Electra')
('Electra Townie Original 21D - 2016', 'Electra')
('Electra Townie Original 7D - 2015/2016', 'Electra')
('Electra Townie Original 7D EQ - 2016', 'Electra')
('Surly Big Dummy Frameset - 2017', 'Surly')
('Surly Karate Monkey 27.5+ Frameset - 2017', 'Surly')
('Trek X-Caliber 8 - 2017', 'Trek')
('Surly Ice Cream Truck Frameset - 2017', 'Surly')
('Surly Wednesday - 2017', 'Surly')
('Trek Farley Alloy Frameset - 2017', 'Trek')
('Surly Wednesday Frameset - 2017', 'Surly')
('Trek Session DH 27.5 Carbon Frameset - 2017', 'Trek')
('Sun Bicycles Spider 3i - 2017', 'Sun Bicycles')
('Surly Troll Frameset - 2017', 'Surly')
('Haro Flightline One ST - 2017', 'Haro')
('Haro Flightline Two 26 Plus - 2017', 'Haro')
('Trek Stache 5 - 2017', 'Trek')
('Trek Fuel EX 9.8 29 - 2017', 'Trek')
('Haro Shift R3 - 2017', 'Haro')
('Trek Fuel EX 5 27.5 Plus - 2017', 'Trek')
('Trek Fuel EX 9.8 27.5 Plus - 2017', 'Trek')
('Haro SR 1.1 - 2017', 'Haro')
('Haro SR 1.2 - 2017', 'Haro')
('Haro SR 1.3 - 2017', 'Haro')
('Trek Remedy 9.8 - 2017', 'Trek')
('Trek Emonda S 4 - 2017', 'Trek')
('Trek Domane SL 6 - 2017', 'Trek')
("Trek Silque SLR 7 Women's - 2017", 'Trek')
("Trek Silque SLR 8 Women's - 2017", 'Trek')
('Surly Steamroller - 2017', 'Surly')
('Surly Ogre Frameset - 2017', 'Surly')
('Trek Domane SL Disc Frameset - 2017', 'Trek')
('Trek Domane S 6 - 2017', 'Trek')
('Trek Domane SLR 6 Disc - 2017', 'Trek')
('Trek Emonda S 5 - 2017', 'Trek')
('Trek Madone 9.2 - 2017', 'Trek')
('Trek Domane S 5 Disc - 2017', 'Trek')
('Sun Bicycles ElectroLite - 2017', 'Sun Bicycles')
('Trek Powerfly 8 FS Plus - 2017', 'Trek')
('Trek Boone 7 - 2017', 'Trek')
('Trek Boone Race Shop Limited - 2017', 'Trek')
('Electra Townie Original 7D - 2017', 'Electra')
('Sun Bicycles Lil Bolt Type-R - 2017', 'Sun Bicycles')
('Sun Bicycles Revolutions 24 - 2017', 'Sun Bicycles')
("Sun Bicycles Revolutions 24 - Girl's - 2017", 'Sun Bicycles')
('Sun Bicycles Cruz 3 - 2017', 'Sun Bicycles')
('Sun Bicycles Cruz 7 - 2017', 'Sun Bicycles')
('Electra Amsterdam Original 3i - 2015/2017', 'Electra')
('Sun Bicycles Atlas X-Type - 2017', 'Sun Bicycles')
('Sun Bicycles Biscayne Tandem 7 - 2017', 'Sun Bicycles')
('Sun Bicycles Brickell Tandem 7 - 2017', 'Sun Bicycles')
('Electra Cruiser Lux 1 - 2017', 'Electra')
('Electra Cruiser Lux Fat Tire 1 Ladies - 2017', 'Electra')
("Electra Girl's Hawaii 1 16 - 2017", 'Electra')
